全国，都道府県，市区町村,自治体コード,人口総数,うち外国人数,外国人比率（%）,2010年外国人比率（％）
最上町,6362,8080.0,82.0,1.0148514851485149,0.8733624454148471
舟形町,6363,5007.0,33.0,0.659077291791492,0.5191434133679429
真室川町,6364,7203.0,35.0,0.4859086491739553,0.5455537370430987
大蔵村,6365,3028.0,16.0,0.5284015852047557,1.036682615629984
鮭川村,6366,3902.0,26.0,0.6663249615581752,0.8021390374331552
戸沢村,6367,4199.0,60.0,1.428911645629912,1.0369532428355956
高畠町,6381,22463.0,196.0,0.8725459644749143,0.6593406593406593
川西町,6382,14558.0,68.0,0.4670971287264734,0.4216484722462889
小国町,6401,7107.0,56.0,0.7879555367947094,0.2595350936583164
白鷹町,6402,12890.0,121.0,0.9387121799844842,0.6334073396891733
飯豊町,6403,6613.0,48.0,0.7258430364433691,0.692433589323933
三川町,6426,7601.0,30.0,0.3946849098802789,0.4268529297632906
庄内町,6428,20151.0,106.0,0.5260284849387127,0.3497711374039209
遊佐町,6461,13032.0,65.0,0.4987722529158993,0.3488372093023256
福島県,7000,1833152.0,12868.0,0.7019603393499284,0.4606557506318184
福島市,7201,282693.0,1772.0,0.6268283968828375,0.4931815851532861
会津若松市,7202,117376.0,738.0,0.6287486368593238,0.4515924576136904
郡山市,7203,327692.0,2561.0,0.7815265554239957,0.4850728642622641
いわき市,7204,332931.0,2439.0,0.7325842291646016,0.4227915932552031
白河市,7205,59491.0,574.0,0.9648518263266712,0.7155662710187933
須賀川市,7207,74992.0,375.0,0.5000533390228291,0.4087451272282287
喜多方市,7208,44760.0,216.0,0.482573726541555,0.3342501337000535
相馬市,7209,34865.0,178.0,0.5105406568191596,0.4521775920882143
二本松市,7210,53557.0,344.0,0.642306327837631,0.504417831671427
田村市,7211,35169.0,311.0,0.8843015155392533,0.6605313937954579
南相馬市,7212,59005.0,403.0,0.6829929666977375,0.2793532548886819
伊達市,7213,58240.0,401.0,0.6885302197802198,0.4043800263528557
本宮市,7214,30236.0,186.0,0.6151607355470301,0.3652068976467973
桑折町,7301,11459.0,35.0,0.3054367745876604,0.2411888275110869
国見町,7303,8639.0,59.0,0.682949415441602,0.6742018639698593
川俣町,7308,12170.0,105.0,0.8627773212818405,0.6487250305093455
大玉村,7322,8900.0,47.0,0.5280898876404494,0.5248425472358292
鏡石町,7342,12318.0,50.0,0.4059100503328463,0.351150994927819
天栄村,7344,5194.0,56.0,1.078167115902965,0.588141789858528
下郷町,7362,5264.0,15.0,0.2849544072948328,0.3869370066553165
檜枝岐村,7364,504.0,,,0.3144654088050315
