全国，都道府県，市区町村,Unnamed: 0,自治体コード,人口総数,うち外国人数,外国人比率（%）
矢祭町,409,7482,5392.0,23.0,0.4265578635014836
塙町,410,7483,8302.0,87.0,1.0479402553601542
鮫川村,411,7484,3049.0,18.0,0.5903574942604133
石川町,412,7501,14644.0,108.0,0.7375034143676591
玉川村,413,7502,6392.0,71.0,1.1107634543178977
平田村,414,7503,5826.0,120.0,2.059732234809475
浅川町,415,7504,6036.0,23.0,0.3810470510271703
古殿町,416,7505,4825.0,58.0,1.2020725388601037
三春町,417,7521,17018.0,58.0,0.3408156070043483
小野町,418,7522,9471.0,142.0,1.4993136944356455
広野町,419,7541,5412.0,75.0,1.385809312638581
楢葉町,420,7542,3710.0,22.0,0.5929919137466307
富岡町,421,7543,2128.0,10.0,0.4699248120300752
川内村,422,7544,2044.0,32.0,1.5655577299412915
大熊町,423,7545,847.0,1.0,0.1180637544273907
双葉町,424,7546,,,
浪江町,425,7547,1923.0,5.0,0.2600104004160166
葛尾村,426,7548,420.0,4.0,0.9523809523809524
新地町,427,7561,7905.0,50.0,0.6325110689437065
飯舘村,428,7564,1318.0,19.0,1.4415781487101669
茨城県,429,8000,2867009.0,57819.0,2.0167010288422533
水戸市,430,8201,270685.0,2818.0,1.041062489609694
日立市,431,8202,174508.0,1493.0,0.8555481697114172
土浦市,432,8203,142074.0,3650.0,2.5690837169362446
古河市,433,8204,139344.0,3020.0,2.1672981972671947
石岡市,434,8205,73061.0,1011.0,1.383775201543915
結城市,435,8207,50645.0,2057.0,4.061605291736599
龍ケ崎市,436,8208,76420.0,1910.0,2.499345721015441
下妻市,437,8210,42521.0,1948.0,4.5812657275228705
常総市,438,8211,60834.0,4755.0,7.816352697504684
常陸太田市,439,8212,48602.0,174.0,0.3580099584379244
高萩市,440,8214,27699.0,194.0,0.7003862955341348
北茨城市,441,8215,41801.0,341.0,0.8157699576565154
笠間市,442,8216,73173.0,672.0,0.918371530482555
取手市,443,8217,104524.0,1392.0,1.331751559450461
牛久市,444,8219,84651.0,1373.0,1.6219536685922198
つくば市,445,8220,241656.0,6556.0,2.7129473300890523
ひたちなか市,446,8221,156581.0,1578.0,1.0077851080271552
鹿嶋市,447,8222,66950.0,879.0,1.3129200896191189
潮来市,448,8223,27604.0,342.0,1.2389508766845383
守谷市,449,8224,68421.0,1127.0,1.647155113196241
常陸大宮市,450,8225,39267.0,243.0,0.618840247536099
那珂市,451,8226,53502.0,253.0,0.472879518522672
筑西市,452,8227,100753.0,2371.0,2.3532798030827866
坂東市,453,8228,52265.0,2242.0,4.28967760451545
稲敷市,454,8229,39039.0,1022.0,2.6178949255872332
かすみがうら市,455,8230,40087.0,1016.0,2.534487489709881
桜川市,456,8231,39122.0,284.0,0.7259342569398293
神栖市,457,8232,95454.0,2656.0,2.782492090430993
行方市,458,8233,32185.0,931.0,2.89265185645487
鉾田市,459,8234,45953.0,2474.0,5.383761669531913
つくばみらい市,460,8235,49872.0,424.0,0.850176451716394
小美玉市,461,8236,48870.0,1300.0,2.6601186822181297
茨城町,462,8302,31401.0,547.0,1.741982739403204
大洗町,463,8309,15715.0,704.0,4.4797963728921415
城里町,464,8310,18097.0,66.0,0.3647013317124385
東海村,465,8341,37891.0,285.0,0.7521575044205748
大子町,466,8364,15736.0,82.0,0.5210981189628877
美浦村,467,8442,14602.0,303.0,2.075058211203945
阿見町,468,8443,48553.0,865.0,1.7815582971186128
河内町,469,8447,8231.0,107.0,1.2999635524237638
八千代町,470,8521,21026.0,1073.0,5.10320555502711
五霞町,471,8542,8093.0,145.0,1.7916718151488942
境町,472,8546,24201.0,896.0,3.702326350150821
利根町,473,8564,15340.0,240.0,1.564537157757497
栃木県,474,9000,1933146.0,37408.0,1.9350840546963344
宇都宮市,475,9201,518757.0,8003.0,1.5427261704420374
足利市,476,9202,144746.0,4518.0,3.121329777679521
栃木市,477,9203,155549.0,3834.0,2.464818160193894
佐野市,478,9204,116228.0,2690.0,2.314416491723165
鹿沼市,479,9205,94033.0,1372.0,1.4590622441057928
日光市,480,9206,77661.0,836.0,1.0764733907624162
小山市,481,9208,166666.0,6034.0,3.6204144816579262
真岡市,482,9209,78190.0,3146.0,4.023532421025706
大田原市,483,9210,72087.0,1010.0,1.4010848003107357
矢板市,484,9211,31165.0,291.0,0.9337397721803306
那須塩原市,485,9213,115210.0,1855.0,1.610103289644996
